"contig_id_orf","contig","length_orf","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","p1","p2","p3","s1","s2","s3","rh1","rh2","rh3","r1","r2","r3"
"mc25","TRINITY_DN100004_c2_g1_i3_1_249_902",654,182,152,217,168,183,208,163,191,182,209,204,114,295,263,201,168,206,137,200,141,181,115,127,161
"mc26","TRINITY_DN100005_c2_g1_i3_1_1788_1279",510,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,1,1,4,0,3,1
"mc27","TRINITY_DN100005_c2_g1_i6_1_1988_1479",510,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,1,1,4,0,3,1
"mc28","TRINITY_DN100006_c2_g1_i3_1_773_1276",504,0,6,0,1,0,0,0,0,2,0,1,3,2,0,0,1,2,1,1,3,1,1,3,3
"mc29","TRINITY_DN100006_c2_g1_i4_1_773_1303",531,0,6,0,1,0,0,1,0,2,0,1,3,2,0,0,2,2,1,0,2,1,1,2,3
"mc30","TRINITY_DN100006_c3_g1_i1_1_590_1219",630,56,65,79,48,56,59,39,67,60,53,56,94,131,126,76,97,105,58,98,81,79,69,86,77
"mc31","TRINITY_DN100006_c3_g1_i2_1_185_751",567,38,27,40,32,29,44,37,26,39,24,35,33,76,51,21,51,65,49,72,48,65,49,50,48
"mc32","TRINITY_DN100006_c3_g1_i2_2_755_1384",630,56,65,79,48,56,59,39,67,60,53,56,94,131,126,76,97,105,58,98,81,79,69,86,77
"mc33","TRINITY_DN100007_c0_g1_i3_1_1800_340",1461,137,162,205,162,137,176,139,132,164,188,190,165,187,220,95,244,244,231,422,213,260,275,437,459
"mc34","TRINITY_DN100007_c0_g1_i4_1_2171_711",1461,136,161,204,162,136,176,139,132,163,188,190,165,187,219,94,244,243,230,422,211,260,275,437,458
"mc35","TRINITY_DN100007_c0_g1_i5_1_2253_793",1461,136,161,204,162,136,176,139,132,163,188,190,165,187,219,94,244,243,230,422,211,260,275,437,458
"mc36","TRINITY_DN100008_c0_g2_i1_1_534_2876",2343,30,69,106,44,49,59,35,30,45,57,43,39,79,57,37,91,119,87,218,183,198,123,194,242
"mc37","TRINITY_DN100009_c0_g1_i2_1_3433_3927",495,8,6,19,3,6,7,13,2,0,7,9,4,24,12,8,33,43,30,28,17,24,34,27,41
"mc38","TRINITY_DN100009_c0_g1_i2_2_4173_460",3714,145,129,234,88,113,122,225,97,154,160,172,84,556,312,237,649,587,472,581,386,446,476,478,623
"mc39","TRINITY_DN100010_c0_g1_i2_1_213_2081",1869,12,16,24,19,13,10,9,21,40,22,31,12,158,54,88,22,14,5,0,4,1,6,5,0
"mc40","TRINITY_DN100010_c0_g1_i2_2_1831_1319",513,2,7,3,6,4,3,1,4,5,6,6,3,21,10,14,7,3,4,0,3,1,1,1,0
"mc41","TRINITY_DN100010_c0_g1_i4_1_213_2078",1866,15,16,29,21,12,12,10,21,41,27,30,13,178,62,102,13,11,1,0,2,0,5,1,0
"mc42","TRINITY_DN100011_c4_g1_i1_1_1610_3055",1446,216,148,237,150,181,234,265,265,327,224,233,159,244,245,308,336,269,227,158,194,258,136,120,170
"mc43","TRINITY_DN100011_c4_g1_i1_2_987_532",456,299,330,396,340,268,405,6,121,34,109,133,171,434,379,103,296,415,253,205,97,91,112,157,168
"mc44","TRINITY_DN100013_c1_g1_i1_1_341_814",474,257,183,335,256,355,430,71,137,106,95,114,74,506,454,190,98,92,55,74,133,249,135,174,338
"mc45","TRINITY_DN100013_c1_g1_i1_2_510_995",486,186,133,233,202,273,290,47,104,75,78,91,72,339,286,114,72,64,38,61,93,196,91,120,226
"mc46","TRINITY_DN100013_c1_g1_i1_3_460_1008",549,304,215,368,302,412,470,76,163,135,125,140,114,576,495,214,117,108,65,99,150,299,142,205,354
"mc47","TRINITY_DN100013_c1_g1_i4_1_341_802",462,238,175,335,245,334,414,81,137,111,97,116,72,507,479,206,97,87,59,73,130,228,125,166,326
"mc48","TRINITY_DN100013_c1_g1_i4_2_510_965",456,140,88,170,135,186,214,57,89,82,65,89,55,268,256,132,63,40,29,41,68,120,61,65,145
"mc49","TRINITY_DN100013_c1_g1_i4_3_460_978",519,245,162,306,232,315,399,95,147,143,120,149,91,505,511,260,112,84,57,79,119,210,101,136,257
"mc50","TRINITY_DN100013_c1_g1_i5_1_309_782",474,238,182,339,244,336,419,83,144,113,102,123,76,515,482,209,104,89,59,72,130,234,133,172,340
"mc51","TRINITY_DN100013_c1_g1_i5_2_490_945",456,140,88,170,135,186,214,57,89,82,65,89,55,268,256,132,63,40,29,41,68,120,61,65,145
"mc52","TRINITY_DN100013_c1_g1_i5_3_440_958",519,245,162,306,232,315,399,95,147,143,120,149,91,505,511,260,112,84,57,79,119,210,101,136,257
"mc53","TRINITY_DN100013_c1_g1_i6_1_309_794",486,257,190,339,257,357,436,73,144,108,100,121,78,514,458,193,105,94,55,73,133,255,143,180,354
"mc54","TRINITY_DN100013_c1_g1_i6_2_490_975",486,186,133,233,202,273,290,47,104,75,78,91,72,339,286,114,72,64,38,61,93,196,91,120,226
"mc55","TRINITY_DN100013_c1_g1_i6_3_440_988",549,304,215,368,302,412,470,76,163,135,125,140,114,576,495,214,117,108,65,99,150,299,142,205,354
"mc56","TRINITY_DN100016_c0_g1_i1_1_1385_213",1173,45,39,57,56,46,32,99,92,79,60,56,87,32,19,45,133,155,90,133,42,17,11,13,10
"mc57","TRINITY_DN100016_c0_g1_i3_1_1403_231",1173,45,40,57,56,45,32,99,93,75,63,57,89,33,20,45,132,154,90,133,42,18,11,13,10
"mc58","TRINITY_DN100017_c0_g1_i1_1_2711_3328",618,0,3,3,0,4,0,6,3,6,4,4,1,6,3,2,3,5,6,3,4,6,5,4,11
"mc59","TRINITY_DN100017_c0_g1_i1_2_3342_451",2892,16,23,29,17,26,28,80,45,81,41,61,21,76,67,78,58,51,34,39,32,32,34,40,50
"mc60","TRINITY_DN100017_c0_g1_i3_1_1822_2439",618,0,3,3,0,4,0,6,3,6,4,4,1,6,3,2,3,5,6,3,4,6,5,4,11
"mc61","TRINITY_DN100017_c0_g1_i3_2_2453_246",2208,12,17,17,13,19,21,52,32,47,19,32,8,50,38,43,32,37,23,30,21,26,27,24,35
"mc62","TRINITY_DN100017_c0_g1_i4_1_2933_3550",618,0,3,3,0,4,0,6,3,6,4,4,1,6,3,2,3,5,6,3,4,6,5,4,11
"mc63","TRINITY_DN100017_c0_g1_i4_2_3564_1420",2145,10,17,17,13,15,21,49,26,44,17,29,8,45,34,39,32,34,23,30,19,25,24,23,33
"mc64","TRINITY_DN100017_c0_g1_i4_3_1281_451",831,4,5,9,3,6,7,22,10,30,16,23,9,23,27,32,13,12,9,8,9,6,6,11,13
"mc65","TRINITY_DN100018_c8_g1_i5_1_1087_305",783,124,229,286,146,181,280,116,235,204,290,322,182,270,238,153,223,264,175,306,313,641,499,452,554
"mc66","TRINITY_DN100018_c8_g4_i1_1_553_2",552,80,155,195,68,94,159,86,151,126,220,203,105,157,146,97,139,134,115,168,206,397,264,316,331
"mc67","TRINITY_DN100018_c8_g4_i2_1_553_2",552,80,155,195,68,94,159,86,151,126,220,203,105,157,146,97,139,134,115,168,206,397,264,316,331
"mc68","TRINITY_DN100018_c8_g4_i3_1_580_2",579,85,160,208,70,96,163,94,159,133,235,216,111,170,151,102,142,140,117,173,212,404,275,324,348
"mc69","TRINITY_DN100019_c1_g2_i1_1_768_1",768,256,182,279,181,279,319,168,221,215,209,233,191,299,206,198,196,281,206,266,243,366,219,320,420
"mc70","TRINITY_DN100019_c1_g2_i2_1_286_735",450,89,62,86,86,111,104,40,59,80,78,96,42,104,79,55,101,119,93,127,90,147,105,168,159
"mc71","TRINITY_DN100019_c1_g2_i2_2_690_1",690,285,190,319,232,333,347,174,234,236,245,278,205,338,238,228,257,316,235,331,272,425,279,411,494
"mc72","TRINITY_DN100020_c0_g1_i1_1_86_1510",1425,18,9,20,2,2,22,1097,492,845,133,74,28,47,15,644,95,63,45,23,199,117,7,7,7
"mc73","TRINITY_DN100020_c0_g1_i3_1_86_1510",1425,18,9,20,2,2,22,1094,492,845,133,74,28,47,15,643,95,63,45,23,199,117,7,7,7
"mc74","TRINITY_DN100021_c0_g2_i1_1_209_1957",1749,363,270,407,895,888,1240,5,56,28,72,107,99,1004,797,65,104,119,93,145,178,393,417,462,636
"mc75","TRINITY_DN100021_c0_g2_i2_1_195_1922",1728,608,462,619,880,827,1093,5,247,76,209,262,257,760,617,78,111,141,84,100,111,258,275,271,389
"mc76","TRINITY_DN100022_c2_g1_i1_1_2_544",543,65,70,122,51,53,55,96,120,90,93,115,58,60,36,24,58,64,58,59,45,95,54,87,87
"mc77","TRINITY_DN100022_c2_g1_i1_2_1233_2267",1035,224,272,388,166,155,204,384,504,352,434,395,435,189,217,116,180,255,168,233,194,282,239,235,297
"mc78","TRINITY_DN100022_c2_g1_i2_1_2_544",543,65,70,122,51,53,55,96,120,90,93,115,58,60,36,24,58,64,58,59,45,95,54,87,87
"mc79","TRINITY_DN100022_c2_g1_i2_2_726_1823",1098,226,287,400,174,160,210,392,515,358,444,410,441,191,225,121,184,263,175,243,197,295,248,241,302
"mc80","TRINITY_DN100022_c2_g1_i3_1_2_610",609,80,96,151,66,59,69,110,147,115,114,143,78,68,41,30,73,78,69,77,60,113,61,106,105
"mc81","TRINITY_DN100022_c2_g1_i3_2_1046_2080",1035,224,272,388,166,155,204,384,504,352,434,395,435,189,217,116,180,255,168,233,194,282,239,235,297
"mc82","TRINITY_DN100022_c2_g1_i4_1_2_1636",1635,329,420,597,256,233,295,532,708,496,598,601,547,281,279,162,278,364,260,355,285,437,331,375,432
"mc83","TRINITY_DN100022_c6_g2_i1_1_151_657",507,23,34,43,54,40,124,145,195,440,293,240,158,558,266,207,1215,751,357,443,168,148,9,4,4
"mc84","TRINITY_DN100022_c7_g1_i2_1_3_749",747,138,131,213,104,100,106,138,235,153,159,197,105,78,47,70,62,68,36,20,20,40,21,18,37
"mc85","TRINITY_DN100022_c7_g1_i2_2_1657_2211",555,89,123,140,100,87,104,113,252,153,170,142,198,63,74,92,39,40,36,23,21,24,17,25,25
"mc86","TRINITY_DN100022_c7_g1_i4_1_3_1295",1293,300,334,458,264,238,280,309,652,371,432,426,412,180,162,212,137,135,90,45,62,72,49,51,69
"mc87","TRINITY_DN100022_c7_g1_i5_1_256_714",459,54,56,94,59,49,50,80,120,81,86,114,76,29,30,32,34,31,22,10,8,21,11,2,13
"mc88","TRINITY_DN100022_c7_g1_i6_1_1704_2192",489,72,99,102,84,65,94,98,208,112,151,134,137,46,56,68,40,28,28,17,19,23,13,12,20
"mc89","TRINITY_DN100022_c8_g1_i1_1_1435_461",975,49,86,113,92,122,177,121,147,177,137,161,144,315,304,201,428,428,305,280,312,547,226,209,299
"mc90","TRINITY_DN100022_c8_g1_i3_1_1038_241",798,42,78,104,88,107,156,110,130,154,120,137,124,269,258,171,346,361,244,236,256,437,181,170,246
"mc91","TRINITY_DN100022_c8_g1_i4_1_1032_241",792,44,80,99,85,115,159,102,136,154,124,146,136,275,276,181,356,366,251,234,259,438,189,174,247
"mc92","TRINITY_DN100022_c8_g1_i5_1_1261_461",801,46,79,102,85,119,165,105,136,153,124,149,138,284,274,190,362,372,259,236,262,449,192,174,257
"mc93","TRINITY_DN100022_c8_g1_i7_1_1261_461",801,46,79,102,85,119,165,105,136,153,124,149,138,284,274,190,362,372,259,236,262,449,192,174,257
"mc94","TRINITY_DN100023_c0_g1_i1_1_205_885",681,410,408,513,290,342,413,248,425,378,341,362,436,128,77,52,30,44,36,0,2,1,1,1,0
"mc95","TRINITY_DN100023_c0_g1_i1_2_2693_1296",1398,1,0,5,1,3,2,24,11,16,7,5,2,17,2,26,9,2,1,1,3,7,4,4,4
"mc96","TRINITY_DN100023_c0_g1_i3_1_205_885",681,410,408,513,290,342,413,248,425,378,341,362,436,128,77,52,30,44,36,0,2,1,1,1,0
"mc97","TRINITY_DN100023_c0_g1_i3_2_2612_1296",1317,2,1,5,1,3,3,24,8,16,7,5,2,16,2,27,10,5,1,1,4,6,4,5,5
"mc98","TRINITY_DN100024_c3_g1_i1_1_2087_1287",801,34,75,78,39,25,61,63,81,93,102,74,64,75,69,51,67,92,61,96,53,57,32,54,60
"mc99","TRINITY_DN100024_c3_g1_i2_1_2429_1287",1143,66,140,165,89,64,110,140,159,160,155,137,114,170,136,102,146,189,142,170,98,110,79,117,112
"mc100","TRINITY_DN100024_c3_g1_i3_1_1602_607",996,48,95,116,64,53,70,88,112,117,106,106,67,131,94,73,104,137,110,122,76,83,60,93,81
