"query","subject","identity_perc","alignment_len","mismatch_num","gap_num","query_start","query_end","subject_start","subject_end","expect","score"
"AT1G12700","TRINITY_DN100008_c0_g2_i1_1_534_2876",31.887,461,314,0,119,579,277,737,4e-80,275
"AT1G22530","TRINITY_DN100023_c0_g1_i1_2_2693_1296",26.106,226,142,11,368,577,125,341,3.59e-06,50.4
"AT1G55630","TRINITY_DN100008_c0_g2_i1_1_534_2876",27.568,370,250,2,111,462,117,486,5.68e-36,142
"AT1G68980","TRINITY_DN100008_c0_g2_i1_1_534_2876",22.821,390,269,9,149,527,320,688,3.52e-18,89.4
"AT1G13040","TRINITY_DN100008_c0_g2_i1_1_534_2876",26.458,480,350,3,30,508,267,744,4.09e-55,199
"AT1G23140","TRINITY_DN100002_c0_g1_i2_1_299_3421",30.986,71,44,2,8,73,35,105,0.001,38.9
"AT1G14685","TRINITY_DN100022_c8_g1_i3_1_1038_241",44,225,103,5,64,279,56,266,1.78e-53,178
"AT1G67180","TRINITY_DN100009_c0_g1_i2_2_4173_460",37.931,29,18,0,319,347,211,239,0.2,35
"AT1G04510","TRINITY_DN100007_c0_g1_i5_1_2253_793",23.721,215,140,6,237,431,129,339,2.65e-08,57
"AT1G27070","TRINITY_DN100022_c8_g1_i4_1_1032_241",30.233,86,58,2,72,156,178,262,3.3,30.8
"AT1G05500","TRINITY_DN100002_c0_g1_i3_1_299_3406",37.975,79,43,2,261,336,32,107,1.22e-05,48.9
"AT1G63630","TRINITY_DN100008_c0_g2_i1_1_534_2876",32.218,239,162,0,1,239,377,615,2.83e-42,155
"AT1G56270","TRINITY_DN100010_c0_g1_i4_1_213_2078",25,100,60,3,37,127,185,278,5.2,28.1
"AT1G07310","TRINITY_DN100002_c0_g1_i2_1_299_3421",34.409,93,44,5,1,80,17,105,0.16,34.7
"AT1G53090","TRINITY_DN100007_c0_g1_i3_1_1800_340",24,225,127,10,493,689,123,331,0.001,43.1
"AT1G56510","TRINITY_DN100018_c8_g1_i5_1_1087_305",23.214,112,78,4,638,744,133,241,7.4,30.4
"AT1G62670","TRINITY_DN100008_c0_g2_i1_1_534_2876",29.252,588,412,3,40,624,169,755,1.01e-83,282
"AT1G62680","TRINITY_DN100008_c0_g2_i1_1_534_2876",30,470,321,1,66,527,227,696,2.33e-78,265
"AT1G79080","TRINITY_DN100008_c0_g2_i1_1_534_2876",31.034,406,276,3,62,466,342,744,3.16e-50,186
"AT1G03370","TRINITY_DN100002_c0_g1_i3_1_299_3406",28.659,164,101,6,2,154,34,192,7.41e-07,53.9
"AT1G60987","TRINITY_DN100017_c0_g1_i4_3_1281_451",30,60,42,0,1,60,32,91,4.4,26.6
"AT1G19750","TRINITY_DN100007_c0_g1_i3_1_1800_340",22.439,205,135,8,59,249,171,365,0.34,33.9
"AT1G62020","TRINITY_DN100007_c0_g1_i3_1_1800_340",22.989,261,137,9,23,276,128,331,2.71e-05,48.9
"AT1G05600","TRINITY_DN100008_c0_g2_i1_1_534_2876",23.404,470,314,9,48,481,283,742,9.47e-33,133
"AT1G04370","TRINITY_DN100002_c0_g1_i3_1_299_3406",35.714,42,27,0,13,54,260,301,0.16,32
"AT1G04360","TRINITY_DN100009_c0_g1_i2_2_4173_460",31.169,77,42,5,125,191,177,252,1.1,32
"AT1G53330","TRINITY_DN100008_c0_g2_i1_1_534_2876",27.874,348,248,3,106,451,269,615,1.59e-40,155
"AT1G76270","TRINITY_DN100017_c0_g1_i4_2_3564_1420",26.389,144,78,4,365,505,315,433,0.57,33.9
"AT1G60610","TRINITY_DN100000_c0_g1_i2_1_55_1236",32.692,52,29,2,290,335,339,390,0.62,32.3
"AT1G63150","TRINITY_DN100008_c0_g2_i1_1_534_2876",32.244,459,311,0,67,525,300,758,2.18e-81,276
"AT1G60660","TRINITY_DN100020_c0_g1_i3_1_86_1510",39.189,74,43,2,48,120,35,107,1.99e-10,58.2
"AT1G05630","TRINITY_DN100007_c0_g1_i3_1_1800_340",23.077,195,115,5,212,376,161,350,0.046,38.5
"AT1G63230","TRINITY_DN100008_c0_g2_i1_1_534_2876",30.744,309,210,1,1,305,307,615,6.53e-51,181
"AT1G63400","TRINITY_DN100008_c0_g2_i1_1_534_2876",29.57,558,387,2,15,570,143,696,1.03e-79,270
"AT1G27170","TRINITY_DN100018_c8_g1_i5_1_1087_305",27.128,188,105,6,681,863,59,219,0.009,40.4
"AT1G27200","TRINITY_DN100021_c0_g2_i1_1_209_1957",41.5,400,217,6,176,564,184,577,2.62e-95,306
"AT1G03560","TRINITY_DN100008_c0_g2_i1_1_534_2876",29.138,580,354,5,114,639,122,698,9.12e-66,233
"AT1G63320","TRINITY_DN100008_c0_g2_i1_1_534_2876",36.316,190,108,3,3,188,303,483,4.15e-27,109
"AT1G63330","TRINITY_DN100008_c0_g2_i1_1_534_2876",32.308,455,308,0,7,461,313,767,4.17e-82,276
"AT1G60770","TRINITY_DN100008_c0_g2_i1_1_534_2876",21.068,337,228,4,100,399,256,591,3.47e-16,82
"AT1G63350","TRINITY_DN100018_c8_g1_i5_1_1087_305",26.667,135,90,4,503,636,111,237,1.5,32.7
"AT1G80150","TRINITY_DN100008_c0_g2_i1_1_534_2876",25.22,341,238,5,42,376,256,585,1.68e-21,97.4
"AT1G80160","TRINITY_DN100022_c6_g2_i1_1_151_657",58.209,134,49,3,3,129,36,169,5.64e-49,159
"AT1G58807","TRINITY_DN100018_c8_g1_i5_1_1087_305",24.4,250,155,11,585,825,21,245,4.4,31.2
"AT1G80050","TRINITY_DN100001_c8_g1_i4_1_135_1037",35,60,33,2,76,135,2,55,5.7,28.1
"AT1G67270","TRINITY_DN100009_c0_g1_i2_2_4173_460",31.429,70,40,2,27,96,190,251,0.001,42.4
"AT1G62720","TRINITY_DN100008_c0_g2_i1_1_534_2876",28.082,438,312,1,50,484,227,664,1.73e-68,236
"AT1G67280","TRINITY_DN100022_c6_g2_i1_1_151_657",22.059,136,65,4,91,205,53,168,9.7,28.1
"AT1G74580","TRINITY_DN100008_c0_g2_i1_1_534_2876",28.531,708,410,12,5,673,122,772,7.48e-83,283
"AT1G09840","TRINITY_DN100003_c0_g1_i4_1_835_260",27.326,172,99,4,218,367,22,189,6.18e-12,65.1
"AT1G80310","TRINITY_DN100016_c0_g1_i1_1_1385_213",26.471,102,57,4,11,104,286,377,8.8,29.3
"AT1G09820","TRINITY_DN100008_c0_g2_i1_1_534_2876",26.837,626,353,8,58,579,115,739,1.29e-67,237
"AT1G20930","TRINITY_DN100003_c0_g1_i4_1_835_260",28.161,174,97,6,158,308,23,191,1.97e-13,68.6
"AT1G80270","TRINITY_DN100008_c0_g2_i1_1_534_2876",21.795,390,258,9,158,509,122,502,1.27e-11,68.2
"AT1G09900","TRINITY_DN100008_c0_g2_i1_1_534_2876",31.626,449,304,1,140,585,249,697,1.47e-82,278
"AT1G03060","TRINITY_DN100007_c0_g1_i3_1_1800_340",27.374,179,109,8,3333,3497,159,330,0.002,44.3
"AT1G77000","TRINITY_DN100018_c8_g1_i5_1_1087_305",28.824,170,112,9,100,269,2,162,0.06,35.4
"AT1G59530","TRINITY_DN100011_c4_g1_i1_1_1610_3055",36.842,38,24,0,57,94,93,130,0.33,31.2
"AT1G03110","TRINITY_DN100007_c0_g1_i5_1_2253_793",26.957,115,76,4,71,181,219,329,0.044,36.6
"AT1G23400","TRINITY_DN100022_c7_g1_i4_1_3_1295",65.197,431,137,5,139,559,1,428,0,538
"AT1G59560","TRINITY_DN100000_c0_g1_i1_1_76_1308",24.752,202,139,5,143,336,213,409,8.71e-13,69.3
"AT1G55590","TRINITY_DN100018_c8_g1_i5_1_1087_305",26.056,142,81,5,396,516,1,139,0.017,38.1
"AT1G03100","TRINITY_DN100008_c0_g2_i1_1_534_2876",23.269,361,238,13,334,688,284,611,8.5e-10,63.2
"AT1G59124","TRINITY_DN100018_c8_g1_i5_1_1087_305",24.4,250,155,11,585,825,21,245,4.9,30.8
"AT1G11160","TRINITY_DN100007_c0_g1_i3_1_1800_340",23.636,220,127,6,60,248,116,325,5.08e-08,57.4
"AT1G54150","TRINITY_DN100000_c0_g1_i2_1_55_1236",45.5,400,194,7,1,383,2,394,4.61e-107,324
"AT1G72150","TRINITY_DN100023_c0_g1_i1_2_2693_1296",25.116,215,145,10,259,462,125,334,6.38e-05,46.2
"AT1G61140","TRINITY_DN100017_c0_g1_i1_2_3342_451",30.769,156,105,2,1124,1276,580,735,9.63e-15,80.1
"AT1G61190","TRINITY_DN100018_c8_g1_i5_1_1087_305",28.829,111,70,3,539,642,144,252,0.81,33.5
"AT1G65220","TRINITY_DN100008_c0_g2_i1_1_534_2876",26.027,73,40,2,280,338,541,613,7.1,29.6
"AT1G61210","TRINITY_DN100007_c0_g1_i5_1_2253_793",26.238,202,116,7,73,247,129,324,1.04e-07,56.6
"AT1G61200","TRINITY_DN100007_c0_g1_i5_1_2253_793",27.273,66,45,1,5,67,357,422,0.29,29.3
"AT1G28020","TRINITY_DN100008_c0_g2_i1_1_534_2876",20.561,321,235,8,78,395,227,530,0.000841,43.1
"AT1G23090","TRINITY_DN100000_c0_g1_i1_1_76_1308",27.885,104,64,4,133,235,203,296,4.4,30.8
"AT1G18150","TRINITY_DN100003_c0_g1_i4_1_835_260",32.948,173,87,7,244,396,27,190,9.54e-13,68.6
"AT1G65030","TRINITY_DN100007_c0_g1_i5_1_2253_793",29.348,92,49,3,56,138,269,353,0.004,39.7
"AT1G51965","TRINITY_DN100008_c0_g2_i1_1_534_2876",29.812,426,293,3,204,623,282,707,4.99e-53,196
"AT1G22960","TRINITY_DN100008_c0_g2_i1_1_534_2876",27.623,648,415,5,85,684,124,765,2.79e-76,264
"AT1G01820","TRINITY_DN100023_c0_g1_i3_1_205_885",25.333,225,149,9,14,227,10,226,2.59e-07,50.4
"AT1G80880","TRINITY_DN100008_c0_g2_i1_1_534_2876",23.585,318,237,3,210,522,267,583,1.4e-23,105
"AT1G02150","TRINITY_DN100008_c0_g2_i1_1_534_2876",23.988,321,226,7,171,486,283,590,7.47e-12,68.6
"AT1G79490","TRINITY_DN100008_c0_g2_i1_1_534_2876",26.376,436,299,4,188,604,141,573,2.64e-40,160
"AT1G24570","TRINITY_DN100013_c1_g1_i6_2_490_975",33.846,65,30,2,39,100,37,91,2.6,30
"AT1G24530","TRINITY_DN100007_c0_g1_i5_1_2253_793",27.189,217,125,11,191,383,152,359,7.85e-08,54.7
"AT1G10650","TRINITY_DN100000_c0_g1_i2_1_55_1236",27.451,51,32,1,292,337,342,392,3.7,30
"AT1G02060","TRINITY_DN100008_c0_g2_i1_1_534_2876",27.51,498,305,9,72,532,256,734,1.95e-51,192
"AT1G01970","TRINITY_DN100008_c0_g2_i1_1_534_2876",20.949,253,200,0,156,408,377,629,8.15e-11,64.7
"AT1G10580","TRINITY_DN100007_c0_g1_i3_1_1800_340",20.392,255,161,8,293,541,124,342,4.51e-08,56.2
"AT1G51570","TRINITY_DN100002_c0_g1_i3_1_299_3406",52.19,799,327,17,1,776,270,1036,0,757
"AT1G73720","TRINITY_DN100007_c0_g1_i5_1_2253_793",28.191,188,110,6,264,436,115,292,8.53e-09,58.5
"AT1G73710","TRINITY_DN100008_c0_g2_i1_1_534_2876",28.932,515,358,5,276,786,253,763,2e-56,210
"AT1G80950","TRINITY_DN100016_c0_g1_i1_1_1385_213",20.741,135,95,2,190,317,112,241,5.1,29.6
"AT1G18830","TRINITY_DN100007_c0_g1_i5_1_2253_793",25.214,234,142,10,77,291,122,341,0.003,42
"AT1G69550","TRINITY_DN100018_c8_g1_i5_1_1087_305",27.481,262,151,8,845,1085,17,260,0.00049,44.3
"AT1G08430","TRINITY_DN100010_c0_g1_i2_1_213_2081",32.486,354,226,6,2,347,98,446,5.08e-62,216
"AT1G08440","TRINITY_DN100010_c0_g1_i2_1_213_2081",31.778,343,207,5,2,328,98,429,3.53e-60,211
"AT1G27470","TRINITY_DN100007_c0_g1_i3_1_1800_340",19.286,140,82,3,207,328,165,291,2.5,32
"AT1G18770","TRINITY_DN100000_c0_g1_i1_1_76_1308",41.667,48,21,4,56,100,356,399,0.044,32.7
"AT1G13630","TRINITY_DN100008_c0_g2_i1_1_534_2876",27.769,641,423,11,45,662,120,743,1.76e-72,255
"AT1G49910","TRINITY_DN100007_c0_g1_i5_1_2253_793",34.286,35,23,0,93,127,299,333,3.3,30.4
"AT1G05490","TRINITY_DN100017_c0_g1_i1_2_3342_451",25.758,594,326,18,802,1352,190,711,2.22e-32,137
"AT1G64610","TRINITY_DN100007_c0_g1_i3_1_1800_340",27.103,214,120,9,204,398,142,338,0.002,41.6
"AT1G08190","TRINITY_DN100007_c0_g1_i5_1_2253_793",34.694,49,29,2,59,104,303,351,1.2,33.5
"AT1G64580","TRINITY_DN100008_c0_g2_i1_1_534_2876",29.904,418,293,0,85,502,252,669,3.24e-67,234
"AT1G13800","TRINITY_DN100008_c0_g2_i1_1_534_2876",27.745,501,340,6,383,862,268,767,3.37e-53,199
"AT1G05370","TRINITY_DN100023_c0_g1_i3_2_2612_1296",22.687,335,206,14,16,330,99,400,3.36e-07,52.8
"AT1G21410","TRINITY_DN100018_c8_g1_i5_1_1087_305",27.647,170,114,9,100,269,2,162,0.57,32.3
"AT1G73670","TRINITY_DN100003_c0_g1_i4_1_835_260",29.651,172,94,5,230,382,27,190,9.08e-12,65.5
"AT1G08610","TRINITY_DN100008_c0_g2_i1_1_534_2876",27.765,443,320,0,108,550,250,692,5.37e-57,206
"AT1G17520","TRINITY_DN100010_c0_g1_i2_1_213_2081",39.024,41,23,1,149,189,383,421,5.3,29.3
"AT1G52130","TRINITY_DN100021_c0_g2_i2_1_195_1922",33.824,68,44,1,374,441,394,460,3.5,30.8
"AT1G18470","TRINITY_DN100000_c0_g1_i1_1_76_1308",29.167,72,44,2,402,466,339,410,0.004,40
"AT1G18420","TRINITY_DN100010_c0_g1_i4_1_213_2078",52.014,571,247,7,27,581,44,603,0,568
"AT1G05120","TRINITY_DN100017_c0_g1_i1_2_3342_451",31.515,165,108,2,673,832,572,736,1.46e-15,82
"AT1G61870","TRINITY_DN100008_c0_g2_i1_1_534_2876",30.916,262,180,1,127,388,222,482,4.91e-30,123
"AT1G18660","TRINITY_DN100000_c0_g1_i1_1_76_1308",37.736,53,31,1,187,237,350,402,0.022,37.7
"AT1G30290","TRINITY_DN100008_c0_g2_i1_1_534_2876",26.165,665,397,7,163,737,116,776,1.11e-68,244
"AT1G08060","TRINITY_DN100017_c0_g1_i4_2_3564_1420",27.891,147,97,4,555,698,558,698,2.25e-07,56.6
"AT1G19200","TRINITY_DN100002_c0_g1_i3_1_299_3406",37.838,37,21,1,105,141,161,195,7.7,28.1
"AT1G19290","TRINITY_DN100008_c0_g2_i1_1_534_2876",30.298,571,386,4,293,859,208,770,2.37e-72,256
"AT1G22170","TRINITY_DN100002_c0_g1_i3_1_299_3406",31.818,44,30,0,18,61,483,526,7.4,29.3
"AT1G52620","TRINITY_DN100008_c0_g2_i1_1_534_2876",28.48,467,334,0,167,633,278,744,4.75e-67,240
"AT1G52640","TRINITY_DN100008_c0_g2_i1_1_534_2876",26.786,392,255,3,85,452,141,524,1.12e-36,145
"AT1G49040","TRINITY_DN100007_c0_g1_i3_1_1800_340",22.051,195,133,6,1006,1183,140,332,0.00011,47
"AT1G52730","TRINITY_DN100007_c0_g1_i3_1_1800_340",26.222,225,122,8,87,299,140,332,9.13e-08,53.9
"AT1G07740","TRINITY_DN100008_c0_g2_i1_1_534_2876",28.756,386,247,6,60,441,136,497,1.23e-38,150
"AT1G47750","TRINITY_DN100023_c0_g1_i3_1_205_885",30.769,247,136,6,12,245,1,225,1.83e-30,115
"AT1G69295","TRINITY_DN100013_c1_g1_i5_2_490_945",31.667,60,37,2,128,184,34,92,2.1,29.3
"AT1G72160","TRINITY_DN100023_c0_g1_i1_2_2693_1296",25.217,230,141,10,167,380,125,339,1.84e-07,53.9
"AT1G55840","TRINITY_DN100023_c0_g1_i1_2_2693_1296",27.572,243,161,5,5,241,98,331,5.04e-21,93.6
"AT1G69290","TRINITY_DN100008_c0_g2_i1_1_534_2876",22.552,337,252,5,212,548,348,675,3.81e-18,89.4
"AT1G64100","TRINITY_DN100008_c0_g2_i1_1_534_2876",27.828,557,383,3,87,639,227,768,3.2e-78,268
"AT1G47610","TRINITY_DN100007_c0_g1_i3_1_1800_340",27.23,213,125,7,131,320,152,357,3.4e-09,58.5
"AT1G19520","TRINITY_DN100008_c0_g2_i1_1_534_2876",24.375,320,204,4,345,628,417,734,1.71e-22,103
"AT1G78690","TRINITY_DN100016_c0_g1_i3_1_1403_231",23.853,109,72,4,61,164,110,212,0.008,38.1
"AT1G47670","TRINITY_DN100022_c6_g2_i1_1_151_657",33.333,51,30,2,441,487,46,96,4,30
"AT1G58230","TRINITY_DN100007_c0_g1_i3_1_1800_340",21.132,265,181,7,2346,2596,132,382,8.98e-08,58.2
"AT1G78280","TRINITY_DN100009_c0_g1_i2_2_4173_460",36.364,33,21,0,336,368,1124,1156,4.3,32
"AT1G02420","TRINITY_DN100008_c0_g2_i1_1_534_2876",25.478,471,290,9,73,482,117,587,1.04e-35,142
"AT1G02390","TRINITY_DN100016_c0_g1_i3_1_1403_231",29.907,107,57,5,318,406,92,198,0.91,32.7
"AT1G30930","TRINITY_DN100021_c0_g2_i1_1_209_1957",24.286,70,33,1,296,365,187,236,8.6,29.3
"AT1G80630","TRINITY_DN100018_c8_g4_i2_1_553_2",38.889,54,31,2,150,203,130,181,0.42,33.1
"AT1G48870","TRINITY_DN100007_c0_g1_i5_1_2253_793",23.148,216,137,5,184,389,142,338,5.14e-06,49.7
"AT1G80550","TRINITY_DN100008_c0_g2_i1_1_534_2876",27.467,375,249,5,60,431,137,491,4.19e-36,142
"AT1G80570","TRINITY_DN100018_c8_g1_i5_1_1087_305",33.929,112,70,3,94,205,28,135,1.22e-05,47.4
"AT1G10270","TRINITY_DN100008_c0_g2_i1_1_534_2876",25.25,400,280,7,177,572,383,767,1.04e-31,133
"AT1G58100","TRINITY_DN100009_c0_g1_i2_2_4173_460",38.095,42,23,1,31,72,849,887,8.5,29.3
"AT1G02370","TRINITY_DN100008_c0_g2_i1_1_534_2876",18.06,299,241,3,120,416,228,524,0.000182,45.1
"AT1G33560","TRINITY_DN100018_c8_g1_i5_1_1087_305",24.658,146,77,5,568,709,84,200,5.8,30.4
"AT1G25480","TRINITY_DN100010_c0_g1_i4_1_213_2078",53.667,559,235,7,4,545,52,603,0,563
"AT1G80670","TRINITY_DN100007_c0_g1_i5_1_2253_793",20.87,230,155,9,83,291,125,348,0.002,40.4
"AT1G01630","TRINITY_DN100023_c0_g1_i3_2_2612_1296",25.62,242,158,9,24,245,95,334,8.75e-10,58.9
"AT1G26340","TRINITY_DN100020_c0_g1_i3_1_86_1510",36.885,122,72,4,9,129,37,154,5.88e-15,72
"AT1G30610","TRINITY_DN100008_c0_g2_i1_1_534_2876",21.846,325,212,7,537,849,310,604,4.16e-12,70.9
"AT1G52420","TRINITY_DN100002_c0_g1_i3_1_299_3406",28.358,67,36,2,396,453,477,540,6.2,30.8
"AT1G26460","TRINITY_DN100008_c0_g2_i1_1_534_2876",20.32,438,299,10,187,581,277,707,1.18e-10,65.1
"AT1G26500","TRINITY_DN100008_c0_g2_i1_1_534_2876",24.346,382,229,7,112,470,316,660,1.3e-23,105
"AT1G72630","TRINITY_DN100022_c2_g1_i2_2_726_1823",29.31,58,36,2,10,65,248,302,9.7,26.2
"AT1G79540","TRINITY_DN100008_c0_g2_i1_1_534_2876",30.705,482,327,4,94,574,283,758,2.18e-66,237
"AT1G24130","TRINITY_DN100007_c0_g1_i5_1_2253_793",26.728,217,121,9,188,381,152,353,8.21e-09,57.8
"AT1G16830","TRINITY_DN100008_c0_g2_i1_1_534_2876",23.624,436,323,3,130,558,303,735,4.03e-33,135
"AT1G10210","TRINITY_DN100003_c0_g1_i4_1_835_260",31.548,168,92,5,172,320,27,190,3.27e-13,68.6
"AT1G02670","TRINITY_DN100017_c0_g1_i1_2_3342_451",29.697,165,112,2,518,678,572,736,2.28e-14,77.4
"AT1G30690","TRINITY_DN100023_c0_g1_i1_2_2693_1296",28.632,234,139,10,223,438,125,348,6.98e-07,52.4
"AT1G62910","TRINITY_DN100008_c0_g2_i1_1_534_2876",29.983,587,375,3,41,626,204,755,1.58e-85,287
"AT1G11950","TRINITY_DN100009_c0_g1_i2_2_4173_460",48.976,537,250,9,184,699,181,714,1.06e-165,519
"AT1G66290","TRINITY_DN100016_c0_g1_i3_1_1403_231",25,76,52,3,340,413,73,145,5.5,30
"AT1G04010","TRINITY_DN100009_c0_g1_i2_2_4173_460",30.508,59,40,1,414,471,988,1046,9.4,30
"AT1G15440","TRINITY_DN100007_c0_g1_i3_1_1800_340",26.667,225,139,6,343,545,111,331,4.87e-10,63.5
"AT1G62930","TRINITY_DN100008_c0_g2_i1_1_534_2876",29.739,575,401,2,45,617,175,748,7.1e-83,280
"AT1G03750","TRINITY_DN100017_c0_g1_i1_2_3342_451",31.439,563,324,12,139,687,209,723,5.08e-73,260
"AT1G71840","TRINITY_DN100007_c0_g1_i5_1_2253_793",24.419,258,157,7,79,308,122,369,2.91e-08,56.2
"AT1G06580","TRINITY_DN100008_c0_g2_i1_1_534_2876",30.288,416,289,1,85,500,252,666,1.54e-68,237
"AT1G28380","TRINITY_DN100017_c0_g1_i4_3_1281_451",35.556,45,29,0,235,279,121,165,9.8,29.6
"AT1G15480","TRINITY_DN100008_c0_g2_i1_1_534_2876",19.799,399,258,8,196,546,289,673,5.62e-10,62.8
"AT1G15890","TRINITY_DN100018_c8_g1_i5_1_1087_305",25.342,146,102,3,510,648,111,256,1.8,32.3
"AT1G04150","TRINITY_DN100002_c0_g1_i3_1_299_3406",41.651,1054,525,17,5,1012,27,1036,0,768
"AT1G15470","TRINITY_DN100007_c0_g1_i5_1_2253_793",25.595,168,100,4,149,292,164,330,1.67e-07,53.1
"AT1G71060","TRINITY_DN100008_c0_g2_i1_1_534_2876",26.739,460,310,6,65,500,96,552,1.04e-44,169
"AT1G06710","TRINITY_DN100008_c0_g2_i1_1_534_2876",30.609,575,367,6,407,976,211,758,3.11e-73,260
"AT1G15740","TRINITY_DN100018_c8_g1_i5_1_1087_305",67.557,262,84,1,120,381,1,261,3.62e-120,360
"AT1G06390","TRINITY_DN100003_c0_g1_i4_1_835_260",30.058,173,95,4,205,355,22,190,1.84e-14,72.4
